feature,reason,model,description
fltgrossmonthly__income_sum,Insufficient income,gen-xiii,
miles_odometer__app,Value or type of collateral not sufficient,gen-xiii,Vehicle milegae
au20s__tu,"Insufficient credit file, Length of Credit",gen-xiii,Months since oldest auto trade opened
rtl_trd__tu,"Insufficient credit file, Length of Credit",gen-xiii,Number of retail trades
ENG-loan_to_value,Value or type of collateral not sufficient,gen-xiii,Loan to value
rev322__tu,Excessive Account Balances,gen-xiii,Min Total Open-to-Buy for Revolving accounts over the past 6 months
balmag01__tu,Excessive Account Balances,gen-xiii,Non-mortgage balance magnitude algorithm over last 24 months
g232s__tu,Excessive inquiries,gen-xiii,Number of inquiries (includes duplicates)
g002s__tu,Delinquent credit obligations,gen-xiii,Number of 60 days past due ratings in past 12 months
linkt003__tu,Length of residence,gen-xiii,Number of non-military non-corroborated addresses in past 12 months
inquirybanking12month__ln,Excessive inquiries,gen-xiii,Indicates subject has one or more LexisNexis banking credit inquiries on file in the last 12 months
all235__tu,Excessive Account Balances,gen-xiii,Aggregate Excess Payment for All accounts over the past 24 months
cv15__tu,Excessive inquiries,gen-xiii,Number of deduped auto inquiries
derogseverityindex__ln,Derogatory public record,gen-xiii,Index indicating severity of derogatory records on subject's file
cv13__tu,Delinquent credit obligations,gen-xiii,Percentage of trades ever delinquent
ENG-wtd_avg,Derogatory Payments on Accounts,gen-xiii,Weighted average of payment history string of most recent open or closed auto loan
subjectabilityindex__ln,Derogatory public record,gen-xiii,"Modeled risk index indicating the subject's ability to fulfill a credit obligation on the basis of their time on file, post-secondary education history, asset ownership, and outstanding financial obligations on file"
g407s__tu,Excessive inquiries,gen-xiii,Number of deduped finance inquiries
ENG-franchise,Dealer application source,gen-xiii,Tag to indicate franchise dealer
phoneinputproblems__ln,Unable to verify working phone number,gen-xiii,Indicates problems associated with the input phone based on information on file
at24s__tu,Delinquent credit obligations,gen-xiii,Number of currently open and satisfactory trades 6 months or older
jt20s__tu,Insufficient length of credit history ,gen-xiii,Months since oldest joint trade opened
rp01s__tu,"Garnishment, or attachment, or foreclosure, or repossession, or suit",gen-xiii,Number of repossession trades
sourcenonderogcount12month__ln,Delinquent credit obligations,gen-xiii,Total non-derogatory source types on file for subject reported within the last 12 months
in21s__tu,Insufficient credit history,gen-xiii,Months since most recent installment trade opened
ENG-bk,Excessive Number of Accounts,gen-xiii,Flag for Open BK
bc97a__tu,Excessive Account Balances,gen-xiii,Total open to buy of open credit cards verified in past 3 months
addrprevioustimenewest__ln,Length of residence,gen-xiii,Time (in months) since the subject was most recently reported at the most previous address on subject's file
trv01__tu,High revolving credit balances,gen-xiii,Number of months since overlimit on a bankcard
s068b__tu,Delinquent credit obligations,gen-xiii,Number of non-medical third party collections
in34s__tu,Excessive Account Balances,gen-xiii,Utilization for open installment trades verified in past 12 months
addronfilecount__ln,Length of residence,gen-xiii,Total number of addresses found on file in subject's address history
linka053__tu,Excessive inquiries,gen-xiii,Number of days since the first (oldest) checking account inquiry
fi101s__tu,Excessive Account Balances,gen-xiii,Total balance of all finance installment trades verified in past 12 months
fi36s__tu,Delinquent credit obligations,gen-xiii,Months since most recent finance installment delinquency
linkf098__tu,Delinquent credit obligations,gen-xiii,Number of satisfactory trades
linka006__tu,Excessive Inquiries,gen-xiii,"Number of total inquiries in the last 3 years.  
These include checking, credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
fi25s__tu,Delinquent credit obligations,gen-xiii,Number of currently open and satisfactory finance installment trades 12 months or older
addrinputsubjectcount__ln,Length of residence,gen-xiii,"Total number of unique subjects on file currently reported at the input address, if the address has been designated as a single family dwelling unit"
linka025__tu,Excessive inquiries,gen-xiii,"Number of other inquiries in the last 3 years. Inquiries that do not fall into the other specified categories (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
g251c__tu,Delinquent credit obligations,gen-xiii,Number of 60 days past due or worse items in the past 24 months (excluding medical collection items)
inquiryshortterm12month__ln,Excessive inquiries,gen-xiii,Indicates subject has one or more LexisNexis personal finance credit inquiries on file in the last 12 months (multiple personal finance inquiries within a 24-hour period are counted as one inquiry)
g095s__tu,Derogatory public record,gen-xiii,Months since most recent public record
s209a__tu,Delinquent credit obligations,gen-xiii,Months since most recent non-medical third party collection
inquirynonshortterm12month__ln,Excessive inquiries,gen-xiii,"Indicates subject has one or more LexisNexis credit inquiries on file in the last 12 months, excluding personal finance credit and collection inquiries
NOTE: This attribute indicates the subject has any LexisNexis credit inquiry on file, excluding any short-term or collection inquiries. This will include auto, banking, and telecom inquiries returned in other attributes as well as other credit-related inquiries not categorically classified in the attributes."
