feature,importance,importance_abs,imputation,description
linkt001__tu,-0.0180496591031348,0.0180496591031348,19.0,Number of non-military addresses in last 7 years
au20s__tu,-0.0165387764574159,0.0165387764574159,1.0,Months since oldest auto trade opened
rtl_trd__tu,-0.0127211090866203,0.0127211090866203,0.0,Number of retail trades
rev326__tu,-0.0127054301579858,0.0127054301579858,0.0,Average Total Open-to-Buy for Revolving accounts over the past 6 months
br109s__tu,-0.0118170193590207,0.0118170193590207,11.0,Number of bank revolving trades with past due amount > $50 verified in past 12 months
miles_odometer__app,0.011778162545769,0.011778162545769,60518.520779948754,
fltgrossmonthly__income_sum,-0.0106919073800096,0.0106919073800096,0.0,
balmag01__tu,-0.009710431455341,0.009710431455341,600.0,Non-mortgage balance magnitude algorithm over last 24 months
ENG-loan_to_value,0.0077317976853291,0.0077317976853291,1.2734844012832087,
int_n_months_open__tu_pmthx,-0.0065297993627649,0.0065297993627649,0.0,
rp01s__tu,-0.0055210882837453,0.0055210882837453,4.0,Number of repossession trades
jt20s__tu,-0.0051606885443453,0.0051606885443453,1.0,Months since oldest joint trade opened
trv10__tu,-0.0049907785720112,0.0049907785720112,0.0,Number of months non-mortgage balance decreases last 12 months
trv13__tu,-0.0049620054717819,0.0049620054717819,0.0,Number of revolving high credit increases YOY
cv15__tu,-0.0045174895086906,0.0045174895086906,35.0,Number of deduped auto inquiries
linkt003__tu,-0.0040050017591771,0.0040050017591771,5.0,Number of non-military non-corroborated addresses in past 12 months
g002s__tu,0.0037288929587617,0.0037288929587617,33.0,Number of 60 days past due ratings in past 12 months
flt_wtd_avg_closed__tu_pmthx,-0.0029971198969923,0.0029971198969923,0.0,
co01s__tu,0.0029867994577362,0.0029867994577362,43.0,Number of charged-off trades
g407s__tu,0.0027690319833293,0.0027690319833293,24.0,Number of deduped finance inquiries
g232s__tu,0.0024775910719906,0.0024775910719906,383.0,Number of inquiries (includes duplicates)
linkf098__tu,-0.0023592917796256,0.0023592917796256,0.0,Number of satisfactory trades
st20s__tu,-0.0020837097455764,0.0020837097455764,1.0,Months since oldest student loan trade opened
per235__tu,-0.0017947955815022,0.0017947955815022,0.0,Aggregate Excess Payment for Personal Loan accounts over the past 24 months
linka006__tu,-0.0014697679084656,0.0014697679084656,162.0,"Number of total inquiries in the last 3 years.  
These include checking, credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
in30s__tu,-0.0013385249431919,0.0013385249431919,100.0,Percentage of open installment trades > 50% of credit line verified in past 12 months
linka003__tu,0.0011300288716577,0.0011300288716577,9.0,"Number of other inquiries in the last 2 years.  
Inquiries that do not fall into the other specified categories (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
fi25s__tu,-0.0007917528624913,0.0007917528624913,0.0,Number of currently open and satisfactory finance installment trades 12 months or older
in21s__tu,-0.0006418169828466,0.0006418169828466,0.0,Months since most recent installment trade opened
fi36s__tu,-0.0005413052987842,0.0005413052987842,0.0,Months since most recent finance installment delinquency
aut252__tu,-0.0003540777041744,0.0003540777041744,0.0,Average Aggregate Excess Payment for Auto accounts over the past 3 months
s068b__tu,0.0002923194750553,0.0002923194750553,18.0,Number of non-medical third party collections
flt_wtd_avg_open__tu_pmthx,-0.0002418027829968,0.0002418027829968,0.0,
