feature,importance,importance_abs,imputation,description
fltgrossmonthly__income_sum,-0.0114046994772892,0.0114046994772892,0.0,
miles_odometer__app,0.0099202102659894,0.0099202102659894,60518.520779948754,
au20s__tu,-0.009258622191273,0.009258622191273,1.0,Months since oldest auto trade opened
rtl_trd__tu,-0.008708473608391,0.008708473608391,0.0,Number of retail trades
ENG-loan_to_value,0.0080257918278934,0.0080257918278934,1.2734844012832087,
rev322__tu,-0.0060385071181167,0.0060385071181167,0.0,Min Total Open-to-Buy for Revolving accounts over the past 6 months
balmag01__tu,-0.0051647963348885,0.0051647963348885,600.0,Non-mortgage balance magnitude algorithm over last 24 months
g232s__tu,0.0049124053050823,0.0049124053050823,383.0,Number of inquiries (includes duplicates)
g002s__tu,0.0048933211910695,0.0048933211910695,33.0,Number of 60 days past due ratings in past 12 months
linkt003__tu,-0.004750806875071,0.004750806875071,5.0,Number of non-military non-corroborated addresses in past 12 months
inquirybanking12month__ln,0.0044834255379757,0.0044834255379757,1.0,Indicates subject has one or more LexisNexis banking credit inquiries on file in the last 12 months
all235__tu,-0.0039524693513642,0.0039524693513642,0.0,Aggregate Excess Payment for All accounts over the past 24 months
cv15__tu,-0.0038119221686384,0.0038119221686384,35.0,Number of deduped auto inquiries
derogseverityindex__ln,-0.0030611087284896,0.0030611087284896,5.0,Index indicating severity of derogatory records on subject's file
cv13__tu,-0.0029902746171395,0.0029902746171395,100.0,Percentage of trades ever delinquent
ENG-wtd_avg,-0.0029423473863848,0.0029423473863848,0.0,
subjectabilityindex__ln,-0.002892991659144,0.002892991659144,1.0,"Modeled risk index indicating the subject's ability to fulfill a credit obligation on the basis of their time on file, post-secondary education history, asset ownership, and outstanding financial obligations on file"
g407s__tu,0.0026625193156865,0.0026625193156865,24.0,Number of deduped finance inquiries
ENG-franchise,0.0025436666085164,0.0025436666085164,0.0,
phoneinputproblems__ln,-0.0025222096076303,0.0025222096076303,6.0,Indicates problems associated with the input phone based on information on file
at24s__tu,-0.002250795332105,0.002250795332105,0.0,Number of currently open and satisfactory trades 6 months or older
jt20s__tu,-0.0022422440225619,0.0022422440225619,1.0,Months since oldest joint trade opened
rp01s__tu,-0.002021474798915,0.002021474798915,4.0,Number of repossession trades
sourcenonderogcount12month__ln,0.0019865791172839,0.0019865791172839,0.0,Total non-derogatory source types on file for subject reported within the last 12 months
in21s__tu,0.0019102840066222,0.0019102840066222,0.0,Months since most recent installment trade opened
ENG-bk,-0.0019059711993134,0.0019059711993134,0.0,
bc97a__tu,0.0017269099287512,0.0017269099287512,0.0,Total open to buy of open credit cards verified in past 3 months
addrprevioustimenewest__ln,-0.001586661526453,0.001586661526453,1.0,Time (in months) since the subject was most recently reported at the most previous address on subject's file
trv01__tu,-0.0014263630136502,0.0014263630136502,1.0,Number of months since overlimit on a bankcard
s068b__tu,0.0013885980390688,0.0013885980390688,18.0,Number of non-medical third party collections
in34s__tu,-0.0011251114894258,0.0011251114894258,536.0,Utilization for open installment trades verified in past 12 months
addronfilecount__ln,0.0010804532351854,0.0010804532351854,40.0,Total number of addresses found on file in subject's address history
linka053__tu,-0.001066163483281,0.001066163483281,0.0,Number of days since the first (oldest) checking account inquiry
fi101s__tu,-0.000669918872222,0.000669918872222,291954.0,Total balance of all finance installment trades verified in past 12 months
fi36s__tu,0.0005769266892898,0.0005769266892898,0.0,Months since most recent finance installment delinquency
linkf098__tu,-0.0005437133120626,0.0005437133120626,0.0,Number of satisfactory trades
linka006__tu,-0.0005020086340419,0.0005020086340419,162.0,"Number of total inquiries in the last 3 years.  
These include checking, credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
fi25s__tu,-0.0005013446827974,0.0005013446827974,0.0,Number of currently open and satisfactory finance installment trades 12 months or older
addrinputsubjectcount__ln,-0.0004083388991808,0.0004083388991808,83.0,"Total number of unique subjects on file currently reported at the input address, if the address has been designated as a single family dwelling unit"
linka025__tu,0.0004031274901317,0.0004031274901317,9.0,"Number of other inquiries in the last 3 years.  
Inquiries that do not fall into the other specified categories (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
g251c__tu,-0.0003343919908119,0.0003343919908119,51.0,Number of 60 days past due or worse items in the past 24 months (excluding medical collection items)
inquiryshortterm12month__ln,0.0003312072437355,0.0003312072437355,1.0,Indicates subject has one or more LexisNexis personal finance credit inquiries on file in the last 12 months (multiple personal finance inquiries within a 24-hour period are counted as one inquiry)
g095s__tu,0.0002798190227649,0.0002798190227649,0.0,Months since most recent public record
s209a__tu,0.0002175200726231,0.0002175200726231,0.0,Months since most recent non-medical third party collection
inquirynonshortterm12month__ln,-8.819217414484427e-05,8.819217414484427e-05,1.0,"Indicates subject has one or more LexisNexis credit inquiries on file in the last 12 months, excluding personal finance credit and collection inquiries
NOTE: This attribute indicates the subject has any LexisNexis credit inquiry on file, excluding any short-term or collection inquiries. This will include auto, banking, and telecom inquiries returned in other attributes as well as other credit-related inquiries not categorically classified in the attributes."
