Feature,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Reason,Description
fltgrossmonthly__income_sum,"(-inf, 3245.78)",8676,0.3467903109760972,6106,2570,0.2962194559704933,-0.11205834465656184,0.00446333485856925,0.000557625132036825,Insufficient income,
fltgrossmonthly__income_sum,"[3245.78, 3776.51)",3660,0.14629466783915582,2594,1066,0.2912568306010929,-0.08813657991152046,0.0011588185384459482,0.00014480545129909404,Insufficient income,
fltgrossmonthly__income_sum,"[3776.51, 4116.78)",2048,0.08186106003677353,1502,546,0.2666015625,0.03450951651705536,9.672293954440818e-05,1.2089767541273878e-05,Insufficient income,
fltgrossmonthly__income_sum,"[4116.78, 4880.04)",3880,0.1550883363977936,2852,1028,0.2649484536082474,0.04298099545695655,0.00028369820346700017,3.5459546027131117e-05,Insufficient income,
fltgrossmonthly__income_sum,"[4880.04, 5280.58)",1529,0.061115996482532575,1127,402,0.262916939175932,0.05343808535863548,0.00017239605994552048,2.154694380099493e-05,Insufficient income,
fltgrossmonthly__income_sum,"[5280.58, 7252.99)",3721,0.14873291230314173,2791,930,0.249932813759742,0.12154630732690086,0.0021358518883000544,0.000266817263493555,Insufficient income,
fltgrossmonthly__income_sum,"[7252.99, inf)",1504,0.06011671596450555,1206,298,0.1981382978723404,0.420546550719607,0.009578654532048925,0.0011885858012409241,Insufficient income,
fltgrossmonthly__income_sum,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Insufficient income,
fltgrossmonthly__income_sum,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Insufficient income,
fltgrossmonthly__income_sum,,25018,1.0,18178,6840,0.2734031497321928,,0.017889477020321107,0.002226929905439798,Insufficient income,
miles_odometer__app,"(-inf, 9105.50)",1442,0.05763850027979855,1196,246,0.17059639389736478,0.6039820585160945,0.018016123095357977,0.002218397686398031,Value or type of collateral not sufficient,Vehicle milegae
miles_odometer__app,"[9105.50, 25084.50)",1309,0.052322327923894796,1029,280,0.21390374331550802,0.32412879260268046,0.005079491974443235,0.0006321715947546413,Value or type of collateral not sufficient,Vehicle milegae
miles_odometer__app,"[25084.50, 40727.50)",2651,0.10596370613158526,1997,654,0.24669935873255375,0.13886964189649686,0.001978064054473218,0.00024705951836828536,Value or type of collateral not sufficient,Vehicle milegae
miles_odometer__app,"[40727.50, 49996.00)",2518,0.1006475337756815,1858,660,0.2621127879269261,0.05759174429119296,0.0003294383884258612,4.1174108433258624e-05,Value or type of collateral not sufficient,Vehicle milegae
miles_odometer__app,"[49996.00, 59571.50)",3385,0.13530258214085858,2474,911,0.2691285081240768,0.021624315630355384,6.295803154848168e-05,7.869600614482711e-06,Value or type of collateral not sufficient,Vehicle milegae
miles_odometer__app,"[59571.50, 63278.50)",1428,0.05707890318970341,1030,398,0.27871148459383754,-0.026562264122875878,4.051370831040084e-05,5.064064665909879e-06,Value or type of collateral not sufficient,Vehicle milegae
miles_odometer__app,"[63278.50, 73390.00)",3404,0.13606203533455913,2445,959,0.2817273795534665,-0.041515013036585335,0.00023669505207809743,2.958475698947266e-05,Value or type of collateral not sufficient,Vehicle milegae
miles_odometer__app,"[73390.00, 77395.50)",1313,0.052482212806779116,926,387,0.2947448591012947,-0.10497479844572177,0.0005918741386443905,7.395031582636824e-05,Value or type of collateral not sufficient,Vehicle milegae
miles_odometer__app,"[77395.50, 92102.00)",4849,0.1938204492765209,3376,1473,0.3037739740152609,-0.14803390080890222,0.00438652222258319,0.0005478151673927421,Value or type of collateral not sufficient,Vehicle milegae
miles_odometer__app,"[92102.00, 96900.50)",1339,0.05352146454552722,922,417,0.31142643764002986,-0.18396533830432715,0.0018845889302262372,0.00023524198672434087,Value or type of collateral not sufficient,Vehicle milegae
miles_odometer__app,"[96900.50, inf)",1380,0.055160284595091535,925,455,0.32971014492753625,-0.2679280215006449,0.004188996165574469,0.0005220639286319354,Value or type of collateral not sufficient,Vehicle milegae
miles_odometer__app,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Value or type of collateral not sufficient,Vehicle milegae
miles_odometer__app,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Value or type of collateral not sufficient,Vehicle milegae
miles_odometer__app,,25018,1.0,18178,6840,0.2734031497321928,,0.03679526576166556,0.004560392728799469,Value or type of collateral not sufficient,Vehicle milegae
ENG-loan_to_value,"(-inf, 0.78)",95,0.003797265968502678,91,4,0.042105263157894736,2.14714080533484,0.009493059059205226,0.0010009732686884524,Value or type of collateral not sufficient,Loan to value
ENG-loan_to_value,"[0.78, 0.89)",178,0.007114877288352387,157,21,0.11797752808988764,1.0342990275627657,0.005757568572506092,0.0006892397225005625,Value or type of collateral not sufficient,Loan to value
ENG-loan_to_value,"[0.89, 1.01)",942,0.03765288991925814,784,158,0.16772823779193205,0.6243896472613216,0.012506301039033886,0.0015383780759559533,Value or type of collateral not sufficient,Loan to value
