Feature,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Reason,Description
fltgrossmonthly__income_sum,"(-inf, 3469.72)",10494,0.41945799024702213,5110,5384,0.5130550790928149,-0.10916658097185775,0.005001627900014793,0.0006248932238685518,Insufficient income,
fltgrossmonthly__income_sum,"[3469.72, 3682.94)",1304,0.05212247182028939,639,665,0.5099693251533742,-0.0968169791233636,0.0004888631133560924,6.108403382972145e-05,Insufficient income,
fltgrossmonthly__income_sum,"[3682.94, 4098.88)",2486,0.09936845471260693,1261,1225,0.4927594529364441,-0.027970179858952227,7.776490005856815e-05,9.72029565571525e-06,Insufficient income,
fltgrossmonthly__income_sum,"[4098.88, 4339.04)",1482,0.05923734910864178,777,705,0.4757085020242915,0.04030815471033459,9.617753845503475e-05,1.2021378496955538e-05,Insufficient income,
fltgrossmonthly__income_sum,"[4339.04, 5249.95)",3933,0.15720681109601087,2080,1853,0.47114162217137046,0.05862755356495936,0.0005397448080671065,6.745844014015507e-05,Insufficient income,
fltgrossmonthly__income_sum,"[5249.95, 6703.63)",3228,0.1290271004876489,1766,1462,0.45291201982651796,0.13197734800913724,0.0022399397153958383,0.0002797894364618579,Insufficient income,
fltgrossmonthly__income_sum,"[6703.63, inf)",2091,0.08357982252778,1232,859,0.41080822572931613,0.30369082926416535,0.007617040928812406,0.0009484880236769041,Insufficient income,
fltgrossmonthly__income_sum,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Insufficient income,
fltgrossmonthly__income_sum,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Insufficient income,
fltgrossmonthly__income_sum,,25018,1.0,12865,12153,0.4857702454232952,,0.01606115890415984,0.002003454832129861,Insufficient income,
miles_odometer__app,"(-inf, 24745.50)",2712,0.10840195059557119,1622,1090,0.4019174041297935,0.34054786660712477,0.012392100640744093,0.0015415705741336008,Value or type of collateral not sufficient,Vehicle milegae
miles_odometer__app,"[24745.50, 35663.00)",1707,0.06823087377088496,936,771,0.45166959578207383,0.13699271006921832,0.0012760066294582905,0.00015937622257908507,Value or type of collateral not sufficient,Vehicle milegae
miles_odometer__app,"[35663.00, 50286.00)",3589,0.14345671116795908,1879,1710,0.47645583728057955,0.03731195707171527,0.00019958874679157774,2.494714624191657e-05,Value or type of collateral not sufficient,Vehicle milegae
miles_odometer__app,"[50286.00, 60286.00)",3592,0.14357662483012232,1826,1766,0.4916481069042316,-0.02352371285403594,7.947322636549814e-05,9.9339242514583e-06,Value or type of collateral not sufficient,Vehicle milegae
