feature,reason,model,description,Change Reason/Comment
inquiryshortterm12month__ln,Excessive inquiries,gen_xii,Indicates subject has one or more LexisNexis personal finance credit inquiries on file in the last 12 months (multiple personal finance inquiries within a 24-hour period are counted as one inquiry),
bkc84__tu,Excessive Account Balances,gen_xii,Months since a Bankcard trade last exceeded 90% utilization,
linkf165__tu,Excessive number of sources for phone number or email addresses,gen_xii,Number of distinct home phones within last 18 months,
rt21s__tu,"Insufficient credit file, Length of Credit",gen_xii,Months since most recent retail trade opened,
lienjudgmenttaxcount__ln,Tax or other liens,gen_xii,"Total federal, state, and county tax liens on subject's file",
linka015__tu,Excessive Bank Account Closures,gen_xii,Number of checking account closures for cause in the last 6 months,
g216s__tu,Delinquent credit obligations,gen_xii,Number of trades with a delinquency of 90 or more days past due since opening a new trade (within past 24 months),
ret84__tu,Excessive Account Balances,gen_xii,Months since a Retail trade last exceeded 90% utilization,
bc01s__tu,Excessive Number of Accounts,gen_xii,Number of credit card trades,
std202__tu,Excessive payment to income,gen_xii,Total Payment Ratio for Student Loan accounts over the past 3 months,
bc107s__tu,Delinquent credit obligations,gen_xii,Number of 30 and 60 days past due ratings on credit card trades,
trv09__tu,Excessive Account Balances,gen_xii,Number of non-mortgage balance decreases YOY,
re21s__tu,"Insufficient credit file, Length of Credit",gen_xii,Months since most recent revolving trade opened,
linkf170__tu,Excessive number of sources for phone number or email addresses,gen_xii,Number of distinct home phones within last 6 months,
fc04s__tu,Delinquent credit obligations,gen_xii,Months since most recent foreclosure trade reported,
g003c__tu,Delinquent credit obligations,gen_xii,Number of real estate trades with 90 or more days past due ratings in past 12 months,
bc108s__tu,Delinquent credit obligations,gen_xii,Number of 90 or more days past due ratings on credit card trades,
linka031__tu,Delinquent credit obligations,gen_xii,Number of open (unpaid) non-sufficient funds in the last 3 years,
trv18__tu,Excessive Account Balances,gen_xii,Number of months bankcard credit limit increases last 12 months,
in25s__tu,Delinquent credit obligations,gen_xii,Number of currently open and satisfactory installment trades 12 months or older,
linkf037__tu,Excessive inquiries,gen_xii,Number of inquiries within last 3 months ONLINE LENDER,
rev14__tu,High revolving credit balances,gen_xii,Number of instances where a Revolving trade was utilized more than 90% in the past 12 months,
linkf133__tu,Excessive Account Balances,gen_xii,Average balance of open trades (including collection),
rvdexq3__tu,High revolving credit balances,gen_xii,Q3 (Jul - Sep) revolving spend indexed to revolving annual spend,
linkf171__tu,Excessive number of sources for phone number or email addresses,gen_xii,Number of distinct home phones within last 9 months,
of36s__tu,Delinquent credit obligations,gen_xii,Months since most recent credit union delinquency,
linkf204__tu,Derogatory Payments on accounts,gen_xii,Total Bad ACH amount in last 3 Months,
linka049__tu,Excessive Inquiries,gen_xii,Number of checking account inquiries in the last 2 months,
linkf140__tu,Excessive number of credit obligations or accounts,gen_xii,Number of distinct bank accounts within last 24 months,
linkf151__tu,Excessive number of sources for phone number or email addresses,gen_xii,Number of distinct cell phones within last 3 months,
linkf006__tu,Excessive obligations in relation to income,gen_xii,Number of NSF within last 6 months,
linkf015__tu,Excessive obligations in relation to income,gen_xii,Number of NSF within last 7 years,
at01a__tu,Excessive Number of Accounts,gen_xii,Number of authorized user trades,
linkf076__tu,Delinquent credit obligations,gen_xii,"Total dollar amount of return, collection, and closed delinquent trade segments within last 12 months",
rp05s__tu,Derogatory Payments on accounts,gen_xii,Total balance of repossession trades,
linkf143__tu,Excessive number of credit obligations or accounts,gen_xii,Number of distinct bank accounts within last 6 months,
linka066__tu,Excessive obligations in relation to income,gen_xii,Total amount of open (unpaid) non-sufficient funds in the last 3 years,
au27s__tu,Excessive Number of Accounts,gen_xii,Number of currently open and satisfactory auto trades 24 months or older,
g242s__tu,Excessive inquiries,gen_xii,Number of inquiries (includes duplicates) in past 3 months,
std203__tu,Excessive payment to income,gen_xii,Total Payment Ratio for Student Loan accounts over the past 6 months,
inquirynonshortterm12month__ln,Excessive inquiries,gen_xii,"Indicates subject has one or more LexisNexis credit inquiries on file in the last 12 months, excluding personal finance credit and collection inquiries
NOTE: This attribute indicates the subject has any LexisNexis credit inquiry on file, excluding any short-term or collection inquiries. This will include auto, banking, and telecom inquiries returned in other attributes as well as other credit-related inquiries not categorically classified in the attributes.",
linka029__tu,Excessive Inquiries,gen_xii,Number of checking account inquiries in the last 3 years,
cv02__tu,Derogatory Payments on accounts,gen_xii,Months since most recent foreclosure occurrence,
mt20s__tu,Insufficient length of credit history,gen_xii,Months since oldest mortgage trade opened,Excessive obligations in relation to income
g219d__tu,Delinquent credit obligations,gen_xii,Number of credit card trades verified in the past 12 months that are currently 60 days or more past due,
g099a__tu,Derogatory Public record,gen_xii,Number of tradeline bankruptcies verified in past 24 months,
criminalfelonycount__ln,Derogatory public record,gen_xii,Total felony criminal convictions on subject's file,
linkt010__tu,Derogatory public record,gen_xii,Number of public record bankruptcies ,
s064a__tu,Delinquent credit obligations,gen_xii,Total placement amount of third party collections,
g960s__tu,Excessive inquiries,gen_xii,Number of deduped inquiries,
aut205__tu,Excessive payment to income,gen_xii,Total Payment Ratio for Auto accounts over the past 24 months,
addrinputdeedmailing__ln,Unable to verify consumer identity or information,gen_xii,Indicates for the input address that the property owner's mailing address is the same as the property address for the property record on file,
cv15__tu,Excessive inquiries,gen_xii,Number of deduped auto inquiries,
co06s__tu,Delinquent credit obligations,gen_xii,Total balance of trades that charged-off in the past 12 months,
