iter	Passed	Remaining
0	95	9440
1	137	6753
2	178	5777
3	223	5361
4	264	5030
5	305	4791
6	352	4680
7	395	4553
8	441	4460
9	484	4359
10	526	4260
11	566	4154
12	610	4085
13	652	4005
14	692	3923
15	733	3849
16	772	3773
17	815	3716
18	853	3640
19	895	3580
20	937	3527
21	977	3464
22	1020	3415
23	1057	3348
24	1102	3307
25	1144	3258
26	1183	3199
27	1227	3155
28	1267	3104
29	1308	3052
30	1346	2996
31	1386	2946
32	1426	2895
33	1467	2847
34	1508	2801
35	1550	2755
36	1591	2710
37	1630	2661
38	1671	2613
39	1709	2564
40	1750	2519
41	1791	2473
42	1831	2428
43	1868	2378
44	1905	2328
45	1950	2289
46	1989	2243
47	2031	2200
48	2069	2154
49	2105	2105
50	2148	2064
51	2188	2019
52	2227	1975
53	2261	1926
54	2302	1883
55	2343	1841
56	2384	1798
57	2422	1753
58	2460	1709
59	2498	1665
60	2537	1622
61	2571	1575
62	2614	1535
63	2652	1492
64	2690	1448
65	2730	1406
66	2769	1364
67	2810	1322
68	2845	1278
69	2883	1235
70	2926	1195
71	2961	1151
72	3000	1109
73	3034	1066
74	3078	1026
75	3119	985
76	3155	942
77	3193	900
78	3227	857
79	3263	815
80	3305	775
81	3347	734
82	3380	692
83	3417	650
84	3450	608
85	3487	567
86	3521	526
87	3557	485
88	3591	443
89	3631	403
90	3668	362
91	3701	321
92	3742	281
93	3776	241
94	3811	200
95	3853	160
96	3887	120
97	3926	80
98	3964	40
99	4003	0
