feature,suffix,feature_name,Description
uniqueid,__app,uniqueid__app,Unique ID
bigaccountid,__app,bigaccountid__app,Account ID
bigdebtorid,__app,bigdebtorid__app,Debtor/Codebtor ID
bitdebtor,__app,bitdebtor__app,Debtor or Codebtor
strcity,__app,strcity__app,City
strname,__app,strname__app,State
strzipcode,__app,strzipcode__app,Zip
applicationdate,__app,applicationdate__app,Application Date
bitapproved,__app,bitapproved__app,Approval Given
bitsystemdecline,__app,bitsystemdecline__app,System Declined
approvaldate,__app,approvaldate__app,Approval Date
bitfunded,__app,bitfunded__app,Funded
fundeddate,__app,fundeddate__app,Funding Date
dtmstampcreation,__app,dtmstampcreation__app,Application Date
dtmapproved,__app,dtmapproved__app,Approval Date
dtmdeclined,__app,dtmdeclined__app,Declined Date
dtmfunded,__app,dtmfunded__app,Funded Date
defaultdate,__app,defaultdate__app,Default Date
chargeoffdate,__app,chargeoffdate__app,Charge Off Date
defaultamount,__app,defaultamount__app,Default Amount
chargeoffamount,__app,chargeoffamount__app,Charge off amount
applicationmonth,__app,applicationmonth__app,Application Month
applicationquarter,__app,applicationquarter__app,Application Quarter
applicationdayofweek,__app,applicationdayofweek__app,Application Day
bigdealerid,__app,bigdealerid__app,Dealership
bitrolled,__app,bitrolled__app,Rolled
bigdealertypeid,__app,bigdealertypeid__app,Dealership Type
dealerstate,__app,dealerstate__app,Dealer State
bitlhmgroup,__app,bitlhmgroup__app,LHM
dealercity,__app,dealercity__app,Dealer City
dealerzip,__app,dealerzip__app,Dealer Zip
bitdealerapplicantsamestate,__app,bitdealerapplicantsamestate__app,Applicant and Dealer Same State
bitdealerapplicantsamecity,__app,bitdealerapplicantsamecity__app,Applicant and Dealer Same City
bitdealerapplicantsamezip,__app,bitdealerapplicantsamezip__app,Applicant and Dealer Same Zip
strdealershiptrackertype,__app,strdealershiptrackertype__app,"Franchise, Independent"
inttype,__app,inttype__app,BK Type
fltacquisitionfee,__app,fltacquisitionfee__app,Acquisiton Fee
fltaddfee,__app,fltaddfee__app,Add Fee
fltallowance,__app,fltallowance__app,Allowance 
fltamountfinanced,__app,fltamountfinanced__app,Amount Financed
fltapprovedapr_contract,__app,fltapprovedapr_contract__app,APR
fltapproveddebttoincome,__app,fltapproveddebttoincome__app,DTI
fltapproveddowntotal,__app,fltapproveddowntotal__app,Down Total
fltapprovedloantovalue,__app,fltapprovedloantovalue__app,LTV
fltapprovedpayment,__app,fltapprovedpayment__app,Payment
fltapprovedpricewholesale,__app,fltapprovedpricewholesale__app,Wholesale Price
fltapprovedservicecontract,__app,fltapprovedservicecontract__app,Service Contract
fltdocumentfee,__app,fltdocumentfee__app,Doc Fee
fltdowncash,__app,fltdowncash__app,Cash Down
fltgapinsurance,__app,fltgapinsurance__app,Gap Insurance
fltinsureddisabilityamount,__app,fltinsureddisabilityamount__app,Insured Disability Amount
fltinsureddisabilitypremium,__app,fltinsureddisabilitypremium__app,Insured Disability Premium
fltinsuredlifeamount,__app,fltinsuredlifeamount__app,Insured Life Amount
fltinsuredlifepremium,__app,fltinsuredlifepremium__app,Insured Life Premium
fltinsuredunemploymentamount,__app,fltinsuredunemploymentamount__app,Insured Unemployment Amount
fltinsuredunemploymentpremium,__app,fltinsuredunemploymentpremium__app,Insured Unemployment Premium
fltlicensefee,__app,fltlicensefee__app,License fee
fltservicecontract,__app,fltservicecontract__app,Service Contract
flttaxgrossreceipts,__app,flttaxgrossreceipts__app,Tax Amount
intterm,__app,intterm__app,Term
inttermbump,__app,inttermbump__app,Term Bump
bitdealertrack,__app,bitdealertrack__app,From Dealertrack
bitrouteone,__app,bitrouteone__app,From Routeone
bitservicecontract,__app,bitservicecontract__app,Service Contract
intservicecontractterm,__app,intservicecontractterm__app,Service Contract Term
intservicecontractmileage,__app,intservicecontractmileage__app,Service Contract Mileage
intservicecontractmileageaddon,__app,intservicecontractmileageaddon__app,Service Contract Mileage Add On
bitmaintenanceagreement,__app,bitmaintenanceagreement__app,Maintenance Agreement
fltmaintenanceagreement,__app,fltmaintenanceagreement__app,Maintenance Agreement
bittrade,__app,bittrade__app,Trade
uniqueid,__debt,uniqueid__debt,Unique ID
bigaccountid,__debt,bigaccountid__debt,Account ID
bigdebtorid,__debt,bigdebtorid__debt,Debtor/Codebtor ID
bigdebtid,__debt,bigdebtid__debt,Debt Id
bigdebttypeid,__debt,bigdebttypeid__debt,Debt Type
bigemployeeid_createdby,__debt,bigemployeeid_createdby__debt,Employee
bitcurrent,__debt,bitcurrent__debt,Current
bitinvalid,__debt,bitinvalid__debt,Invalid
bitpulledfrombureau,__debt,bitpulledfrombureau__debt,From Bureau
bituse,__debt,bituse__debt,Use
bitverified,__debt,bitverified__debt,Verified
dtmstampcreation,__debt,dtmstampcreation__debt,Date Creation
dtmstart,__debt,dtmstart__debt,Start Date
fltbalancecurrent,__debt,fltbalancecurrent__debt,Current Balance
fltbalanceoriginal,__debt,fltbalanceoriginal__debt,Original Balance
fltmonthlypayment,__debt,fltmonthlypayment__debt,Monthly Payment
strcomment,__debt,strcomment__debt,Comment
strcreditor,__debt,strcreditor__debt,Creditor
strpaymentmethod,__debt,strpaymentmethod__debt,Method of Payment
strtype,__debt,strtype__debt,Type
bigincomeid_withheldfrom,__debt,bigincomeid_withheldfrom__debt,Withheld from income
bitbrokerage,__debt,bitbrokerage__debt,Brokerage
bigdebtorcontactid_createdby,__debt,bigdebtorcontactid_createdby__debt,Debtor
bigdealercontactid_createdby,__debt,bigdealercontactid_createdby__debt,Dealer
bigcreditmergeresultid,__debt,bigcreditmergeresultid__debt,Merit Merge
bitcurrent,__income,bitcurrent__income,Current
bitemployment,__income,bitemployment__income,Employment
bitfulltime,__income,bitfulltime__income,Full Time
bitpulledfrombureau,__income,bitpulledfrombureau__income,Pulled From
bitselfemployed,__income,bitselfemployed__income,Self Employed
bituse,__income,bituse__income,Use
dtmend,__income,dtmend__income,End Date
fltgrossmonthly,__income,fltgrossmonthly__income,Gross Monthly
strwagetype,__income,strwagetype__income,Wage Type
flt401kloanpayment,__income,flt401kloanpayment__income,401k Loan Payment
fltchildsupport,__income,fltchildsupport__income,Child Support
fltgarnish,__income,fltgarnish__income,Garnish
strfrequency,__income,strfrequency__income,Frequency
bitrequirepoi,__income,bitrequirepoi__income,POI
strweekly,__income,strweekly__income,Weekly
streveryother,__income,streveryother__income,Every Other
strmonthly,__income,strmonthly__income,Monthly
strpaydays,__income,strpaydays__income,Pay Days
analyticsmatchkey,__tu,analyticsmatchkey__tu,analyticsMatchkey
zip_code,__tu,zip_code__tu,5 digit zip code
at01s,__tu,at01s__tu,Number of trades
at02s,__tu,at02s__tu,Number of open trades
