,No,Yes,description
g201a__tu,1111.4984731453205,1835.0057911564215,Total open to buy of open trades verified in past 3 months (excluding installments and mortgages)
g202a__tu,1136.7294166199924,1861.21015362458,Total open to buy of open trades verified in past 12 months (excluding installments and mortgages)
agg401__tu,520.5897080080948,704.0271294078324,Aggregate non-mortgage actual payment for month 1
trd__tu,12.679399890743875,15.777829337458108,Number of trades
at30s__tu,78.84425877119199,60.15450386668119,Percentage of open trades > 50% of credit line verified in past 12 months
s043s__tu,1.9031335671962974,1.2688430148823813,Number of open trades > 50% of credit line verified in past 12 months (excluding installments and mortgages)
bi20s__tu,98.6617185866611,62.41780758126106,Months since oldest bank installment trade opened
at03s__tu,3.808095896726602,4.795341098169717,Number of open trades currently satisfactory
paymnt10__tu,4.69396052108022,6.119891598915989,Number of payments in last 3 months
nomt_trd__tu,12.498451389726881,15.674091260634183,Number of non-mortgage trades
fr01s__tu,0.39837496480431195,0.7754575921629286,Number of finance revolving trades
g199s__tu,479.28151920586964,407.5947086801427,Total monthly obligation for contractually liable accounts verified in past 12 months
fr29s__tu,1.0680343678765563,1.0126197709745268,Number of open finance revolving trades with balance > $0 verified in past 12 months
linkf145__tu,2.395636664201505,3.3085553077024015,Number of distinct bank accounts
cv25__tu,2.6656017649671218,4.476254387776172,Percent of trades from inactive to active status in the past 12 months
at103s__tu,86.99400645458736,92.2750254951425,Percentage of satisfactory open trades to all open trades verified in 24 months
reap02__tu,122.75769454123113,105.99580486635503,Total scheduled monthly payment for all revolving and open heloc trades verified in past 12 months
se09s__tu,0.7650699300699301,1.0634984670001613,Number of secured installment trades opened in past 24 months
agg406__tu,547.3245390070922,708.9464790324404,Aggregate non-mortgage actual payment for month 6
re25s__tu,1.906404155934867,1.8340888485947415,Number of currently open and satisfactory revolving trades 12 months or older
se06s__tu,0.1615034965034965,0.23051476520897207,Number of secured installment trades opened in past 6 months
at09s__tu,2.7709470240409755,4.617581850992524,Number of trades opened in past 24 months
agg402__tu,531.6908342713734,727.2902258099706,Aggregate non-mortgage actual payment for month 2
g216s__tu,3.2289078555162645,3.2427589193871476,Number of trades with a delinquency of 90 or more days past due since opening a new trade (within past 24 months)
balmag01__tu,259.3545744336819,280.59121656780104,Non-mortgage balance magnitude algorithm over last 24 months
bi36s__tu,487.4553627430483,418.0343671416597,Months since most recent bank installment delinquency
fr36s__tu,374.9613640089622,347.1720152603232,Months since most recent finance revolving delinquency
re03s__tu,2.2333600641539695,2.202956604673343,Number of currently satisfactory open revolving trades
se20s__tu,62.96587412587412,45.897046958205586,Months since oldest secured installment trade opened
fr101s__tu,1045.9586558244341,581.3837650031586,Total balance of all finance revolving trades verified in past 12 months
re12s__tu,2.50572501878287,2.5019257867543447,Number of open revolving trades verified in past 12 months
at21s__tu,21.44027299178075,8.435988656870327,Months since most recent trade opened
jt80s__tu,0.6820480404551201,0.5227606461086637,Number of non-Mortgage and non-Auto joint trades with greater than 75% utilization
agg415__tu,604.1124315871775,619.1343383789062,Aggregate non-mortgage actual payment for month 15
linkc034__tu,0.041236203090507725,0.07155963302752294,Number of payday loan inquiries in the last 12 months
at34a__tu,82.73117254528123,69.12084740224377,Utilization for open trades verified in past 12 months
g020s__tu,4.206519136228536,6.219196451596266,Number of trades with maximum delinquency of 30 days past due in past 24 months
re06s__tu,0.37407438361888845,0.5211000746397199,Number of revolving trades opened in past 6 months
agg411__tu,569.6814716158049,635.3618622149071,Aggregate non-mortgage actual payment for month 11
bi02s__tu,1.3731444699979092,1.271491105522958,Number of open bank installment trades
agg408__tu,542.5007177170855,668.7105368934826,Aggregate non-mortgage actual payment for month 8
us51a__tu,23.698376932014224,17.775048480930835,Terms in months of most recent unsecured installment trade
assetpropevercount__ln,0.4088780015074836,0.2120457675601229,Total number of real property ever owned based on real property ownership records on subject's file
linkc012__tu,0.0,0.0,Number of paid alternative auto finance charge-offs in the last 24 months
all234__tu,3337.6084925230443,2311.718029284233,Aggregate Excess Payment for All accounts over the past 12 months
linkf154__tu,1.7094662200374124,2.110418580238814,Number of distinct cell phones
linkc036__tu,0.7725386313465784,1.4660550458715595,"Number of inquiries for other financial services (includes consumer finance, furniture finance, credit cards, and title loans) in the last 7 years"
fr02s__tu,0.41264549975408493,0.640596947935368,Number of open finance revolving trades
g106s__tu,261.741929036814,228.2167053364269,Months on file
at06s__tu,0.5859803435191269,1.0305748904356793,Number of trades opened in past 6 months
g199b__tu,495.8105791420931,403.91631615292863,Total monthly obligation for contractually liable accounts verified in past 12 months and current balance > 0
bc09s__tu,1.2955497236026579,1.75388171150883,Number of credit card trades opened in past 24 months
agg413__tu,595.4462103402047,613.3548619016236,Aggregate non-mortgage actual payment for month 13
agg404__tu,515.3457035274723,712.0405780989439,Aggregate non-mortgage actual payment for month 4
agg410__tu,577.0484778642082,644.2277343294036,Aggregate non-mortgage actual payment for month 10
linkf181__tu,1.8660112237351547,2.294580763679307,Number of distinct zip codes
in21s__tu,30.901752794522153,20.656603365254558,Months since most recent installment trade opened
paymnt11__tu,17.573930871930646,22.48202312443905,Number of payments in last 12 months
jt01s__tu,1.268278293981202,0.7568445475638051,Number of joint trades
jt03s__tu,1.0250019291612007,0.9540692989524577,Number of open joint trades currently satisfactory
bkc316__tu,1157.8052254565027,1177.4944881889764,Max Total Open-to-Buy for Bankcard accounts over the past 3 months
agg407__tu,534.1162613837291,687.6952185558785,Aggregate non-mortgage actual payment for month 7
at29s__tu,4.008700159194403,4.457119828049436,Number of open trades with balance > $0 verified in past 12 months
mt06s__tu,0.020298507462686566,0.03460207612456748,Number of mortgage trades opened in past 6 months
flt_wtd_avg_closed__tu_pmthx,0.652838358926044,0.5628018576296573,
bigstatusid__app,728950.8349797886,685612.3013854622,
s204a__tu,2577.904661081032,2752.837676609105,Total balance of non-medical third party collections verified in past 12 months
se36s__tu,430.5977554017202,335.9896732553449,Months since most recent secured installment delinquency
all255__tu,569.5703210963289,375.87172284644197,Average Aggregate Excess Payment for All accounts over the past 24 months
linka006__tu,9.078048855478178,12.560006667407489,"Number of total inquiries in the last 3 years.  
These include checking, credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
fltamountfinanced__app,23549.667536778557,23100.6047562833,Amount Financed
bkc321__tu,655.2772019827377,645.5058671546991,Min Total Open-to-Buy for Bankcard accounts over the past 3 months
in34s__tu,87.94224968023747,92.35743285446596,Utilization for open installment trades verified in past 12 months
linka017__tu,0.2658457470522222,0.43127014112679185,Number of checking account closures for cause in the last 5 years
linka029__tu,0.8609663484450184,1.425991776864096,Number of checking account inquiries in the last 3 years
linkf038__tu,9.689389655022405,12.525324760530115,Number of inquiries all time ONLINE LENDER
st34s__tu,116.85094699092234,115.73574037651025,Utilization for open student loan trades verified in past 12 months
at25s__tu,3.3959230100140507,3.9713350219311794,Number of currently open and satisfactory trades 12 months or older
sourcecredheadertimeoldest__ln,266.07476282880555,233.0107190236137,Time (in months) since the subject first reported by a credit header source on file
s062s__tu,143.71836745639087,75.80953854086104,Months since most recent 90 or more days past due
jt41s__tu,2.53189507089411,1.8721044503720343,Number of joint installment or joint mortgage trades
jt40s__tu,0.16726351646432003,0.09335953951986523,Number of joint revolving trades
fi36s__tu,233.77127018155022,161.6646360415242,Months since most recent finance installment delinquency
all232__tu,815.134453097993,596.2840739953222,Aggregate Excess Payment for All accounts over the past 3 months
in27s__tu,3.1806497018187208,4.159943046986236,Number of currently open and satisfactory installment trades 24 months or older
au01s__tu,1.9588512127428503,1.6871874194379994,Number of auto trades
agg102__tu,21795.466041869524,19081.78959593777,Aggregate non-mortgage balances for month 2
trv03__tu,1.1917932441623216,1.3722005979579173,Number of non-mortgage trades with a balance increase last month
s064b__tu,2541.6303572908896,2721.769764751253,Total placement amount of non-medical third party collections
cv13__tu,49.61192228792084,47.66238721319928,Percentage of trades ever delinquent
rets119__tu,123.44907560250908,92.7284396309667,Aggregate Retail Spend for Month M = 19
agg812__tu,148.21895514223195,169.89380407479766,Aggregate bankcard actual payment for month 12
inquiryshortterm12month__ln,0.17418165177129322,0.27953173005615,Indicates subject has one or more LexisNexis personal finance credit inquiries on file in the last 12 months (multiple personal finance inquiries within a 24-hour period are counted as one inquiry)
cv26__tu,6.116857441657236,9.73502994011976,Percent of trades from active to inactive status in the past 12 months
linkf081__tu,1053.0062318238472,1042.9027639027638,Days since most recent delinquency
se01s__tu,1.2021908477803254,1.7643722608919825,Number of secured installment trades
derogcount__ln,1.0446370831152034,1.238817190828217,"Total derogatory source records (criminal felony, criminal non-felony, sexual offender registry, lien, judgment, bankruptcy, and eviction) on subject's file"
aut204__tu,2.223486405480625,1.9730844350961538,Total Payment Ratio for Auto accounts over the past 12 months
educationinstitutionprivate__ln,0.06218177878886361,0.06036745406824147,Indicates most recently attended program is a private institution based on student directories and other college attendance sources on subject's file
