feature,No (Contribution),Yes (Contribution),No (Raw),Yes (Raw),Description,Diff
rev322__tu,-0.007702391665614595,-0.019915874997355747,751.8860391967094,768.2341776995485,Min Total Open-to-Buy for Revolving accounts over the past 6 months,-0.012213483331741153
at24s__tu,-0.00224798381386064,-0.011772579816951852,3.612242538679409,4.401677633231202,Number of currently open and satisfactory trades 6 months or older,-0.009524596003091211
cv13__tu,-0.0038302420838361205,-0.010132754228534172,49.48078064133323,47.37390305536412,Percentage of trades ever delinquent,-0.006302512144698051
fltgrossmonthly__income_sum,-0.018612301838467946,-0.022452367070447753,4533.707179272972,4668.288232872411,Monthly income,-0.003840065231979807
bc97a__tu,0.0016413607346775908,-0.002083871395354307,858.2216005837996,966.5328677839851,Total open to buy of open credit cards verified in past 3 months,-0.0037252321300318978
ENG-bk,-0.014732793199944905,-0.018073457874554236,0.24383463366514213,0.26115322765908566,Open BK,-0.0033406646746093303
all235__tu,-0.004773641981367513,-0.00616653614271818,7340.845945945946,4338.052333437273,Aggregate Excess Payment for All accounts over the past 24 months,-0.0013928941613506676
linkf098__tu,-0.0006126896088999396,-0.0018119126633027612,1.306367649508579,1.1444231773099007,Number of satisfactory trades,-0.0011992230544028216
trv01__tu,-0.010877121484001688,-0.011909231853996465,339.1982413917262,289.99226294357186,Number of months since overlimit on a bankcard,-0.0010321103699947771
fi101s__tu,-0.0008783543254874346,-0.0018692143720824381,12539.353940997355,10974.332549655452,Total balance of all finance installment trades verified in past 12 months,-0.0009908600465950036
miles_odometer__app,0.002440907344676041,0.002358223970537715,61226.60898602726,60941.48285109386,Vehicle mileage,-8.268337413832628e-05
phoneinputproblems__ln,-0.0003160770984254871,3.931848117165156e-05,0.10883232883839916,0.11859706362153344,Indicates problems associated with the input phone based on information on file,0.00035539557959713867
linka025__tu,0.0007002800293558945,0.0012965428883115785,0.3738904396886585,0.6998715288071944,"Number of other inquiries in the last 3 years.  
Inquiries that do not fall into the other specified categories (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)",0.000596262858955684
fi25s__tu,-0.0012884692485180837,-0.0006878724281451114,0.842955207664576,0.7876090439736514,Number of currently open and satisfactory finance installment trades 12 months or older,0.0006005968203729723
sourcenonderogcount12month__ln,0.0013683260432371706,0.002000868028029595,1.2047784586377563,1.1920192676118013,Total non-derogatory source types on file for subject reported within the last 12 months,0.0006325419847924244
in34s__tu,-0.0016921644771760857,-0.0007931409560968981,88.01781376518218,92.66773140754114,Utilization for open installment trades verified in past 12 months,0.0008990235210791876
